revision,date,author,number_of_lines,comment
1551925,"2015-11-27 16:57:44 +0000 (Fri, 27 Nov 2015)",Thomas,1,Renamed folder to the correct name
1551575,"2015-11-27 09:46:32 +0000 (Fri, 27 Nov 2015)",Thomas,1,Removed unused webview.plan.management and webview_plan_management properties
1551569,"2015-11-27 09:38:09 +0000 (Fri, 27 Nov 2015)",Vincent,1,enable all clients
1551558,"2015-11-27 09:13:26 +0000 (Fri, 27 Nov 2015)",Thomas,1,Chnaged jira url to htps
1551504,"2015-11-27 07:05:41 +0000 (Fri, 27 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1551486,"2015-11-27 06:10:10 +0000 (Fri, 27 Nov 2015)",Vincent,1,SFR-108 : preparing release for SFR
1551485,"2015-11-27 06:06:30 +0000 (Fri, 27 Nov 2015)",Vincent,1,SFR-108 : 1.buddy sync removed from settings. 2. italics text corrected.
1551375,"2015-11-26 15:01:51 +0000 (Thu, 26 Nov 2015)",Vincent,1,SFR-108 : androidM related strings added.
1551347,"2015-11-26 14:35:32 +0000 (Thu, 26 Nov 2015)",Vincent,1,SFR-108 : removed unnecessary layouts which were copy-pasted from amx. They were enabling help_footer
1551334,"2015-11-26 14:20:12 +0000 (Thu, 26 Nov 2015)",Vincent,1,SFR-108 : using WL base & snc urls
1551332,"2015-11-26 14:17:48 +0000 (Thu, 26 Nov 2015)",Vincent,4,
1551313,"2015-11-26 13:58:15 +0000 (Thu, 26 Nov 2015)",Vincent,4,
1551307,"2015-11-26 13:48:29 +0000 (Thu, 26 Nov 2015)",Thomas,1,Removed AMX specific layouts.
1551294,"2015-11-26 13:30:16 +0000 (Thu, 26 Nov 2015)",Vincent,4,
1551249,"2015-11-26 12:16:06 +0000 (Thu, 26 Nov 2015)",Vincent,5,
1551248,"2015-11-26 12:15:26 +0000 (Thu, 26 Nov 2015)",Vincent,5,
1551105,"2015-11-26 09:17:08 +0000 (Thu, 26 Nov 2015)",Thomas,1,FTRPC-393: Frontier - Still receiving push notification even when Notifications is off from app settings.
1551061,"2015-11-26 07:33:33 +0000 (Thu, 26 Nov 2015)",Vincent,3,actionbar color & background
1550863,"2015-11-25 16:42:06 +0000 (Wed, 25 Nov 2015)",Thomas,1,Changed cloudsdkVersion to '1.0.22.10'
1550724,"2015-11-25 14:17:42 +0000 (Wed, 25 Nov 2015)",Thomas,1,Changed jira url to https
1550591,"2015-11-25 11:29:15 +0000 (Wed, 25 Nov 2015)",Thomas,3,"Client used systemAttribute name=""Creation-Date"" instead of versionCreated as version created."
1550580,"2015-11-25 11:15:27 +0000 (Wed, 25 Nov 2015)",Thomas,1,Updated splashscreen to re use grphc_pcloud_logo image instead of splash_logo
1550503,"2015-11-25 09:26:22 +0000 (Wed, 25 Nov 2015)",Thomas,1,Changed splash screen as requested
1550097,"2015-11-24 14:41:53 +0000 (Tue, 24 Nov 2015)",Vincent,3,"three dots. ""..."""
1550089,"2015-11-24 14:28:19 +0000 (Tue, 24 Nov 2015)",Thomas,2,"Client used systemAttribute name=""Creation-Date"" instead of versionCreated as version created."
1550060,"2015-11-24 13:58:25 +0000 (Tue, 24 Nov 2015)",Vincent,4,"2) ""AMX Cloud"" replaced by ""SFR Cloud"""
1550046,"2015-11-24 13:42:26 +0000 (Tue, 24 Nov 2015)",Vincent,4,2) fixed compilation errors.
1549398,"2015-11-23 16:32:45 +0000 (Mon, 23 Nov 2015)",Thomas,1,Updated jira port number to 8443
1549355,"2015-11-23 15:34:21 +0000 (Mon, 23 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1549331,"2015-11-23 15:20:49 +0000 (Mon, 23 Nov 2015)",Thomas,1,FTRPC-497: Frontier Android || Difference in the branding icon in push notifications
1549294,"2015-11-23 15:02:18 +0000 (Mon, 23 Nov 2015)",Jimmy,2,Homescreen update
1549111,"2015-11-23 11:46:06 +0000 (Mon, 23 Nov 2015)",Thomas,1,Fix crash on the boot complete
1548946,"2015-11-23 05:50:12 +0000 (Mon, 23 Nov 2015)",Vincent,5,
1548632,"2015-11-20 16:36:17 +0000 (Fri, 20 Nov 2015)",Thomas,1,FTRPC-309: Frontier - Report Abuse is ON
1548595,"2015-11-20 15:43:36 +0000 (Fri, 20 Nov 2015)",Thomas,1,Put dontwarn for android.provider.** to fix snapshot build
1548398,"2015-11-20 13:06:04 +0000 (Fri, 20 Nov 2015)",Thomas,1,Enabled com.android.support:support-v4-internal_impl
1548384,"2015-11-20 12:57:08 +0000 (Fri, 20 Nov 2015)",Thomas,1,FTRPC-381: Add Android M Support to Handset Client
1548364,"2015-11-20 12:42:14 +0000 (Fri, 20 Nov 2015)",Thomas,2,Copying resouces from att-m branch
1548358,"2015-11-20 12:40:31 +0000 (Fri, 20 Nov 2015)",Thomas,2,Copying resources from att-m branch
1548357,"2015-11-20 12:39:03 +0000 (Fri, 20 Nov 2015)",Thomas,2,Copying resources from att-m branch
1548355,"2015-11-20 12:37:26 +0000 (Fri, 20 Nov 2015)",Thomas,2,Copying resources from att-m
1548352,"2015-11-20 12:35:47 +0000 (Fri, 20 Nov 2015)",Thomas,2,Copying resources from att-m branch
1548350,"2015-11-20 12:33:51 +0000 (Fri, 20 Nov 2015)",Thomas,2,Copy resources from att-m branch
1548342,"2015-11-20 12:28:01 +0000 (Fri, 20 Nov 2015)",Thomas,2,Moving ui/permission classes from at-m branch
1548336,"2015-11-20 12:26:32 +0000 (Fri, 20 Nov 2015)",Thomas,2,Moving model/permission classes from att-m branch
1547894,"2015-11-19 16:41:58 +0000 (Thu, 19 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1547749,"2015-11-19 13:53:23 +0000 (Thu, 19 Nov 2015)",Freddie,2,- use the latest Cloud SDK 1.0.8 branch version to fix issues with upload not resuming + send the Creation-Date attribute at DV-Attach phase (if provided)
1547748,"2015-11-19 13:51:15 +0000 (Thu, 19 Nov 2015)",Jimmy,1,Enabled all modules
1547738,"2015-11-19 13:35:41 +0000 (Thu, 19 Nov 2015)",Jimmy,1,FTRPC-191 - Removed call logs and messages from home screen rendering
1547683,"2015-11-19 12:26:49 +0000 (Thu, 19 Nov 2015)",Jimmy,1,Homescreen merge from at&t branch
1547493,"2015-11-19 06:31:05 +0000 (Thu, 19 Nov 2015)",Vincent,4,
1546917,"2015-11-18 09:06:34 +0000 (Wed, 18 Nov 2015)",Vincent,3,chrome_cast_support_feature= true. enabled on Frontier.
1546493,"2015-11-17 15:38:50 +0000 (Tue, 17 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1546460,"2015-11-17 14:56:49 +0000 (Tue, 17 Nov 2015)",Vincent,3,reverted changes of Revision: 1545628
1546414,"2015-11-17 14:09:45 +0000 (Tue, 17 Nov 2015)",Thomas,7,Fixed FTRPC-410: Frontier - Favorited Documents is not showing up under favorite tile.
1545714,"2015-11-16 15:35:27 +0000 (Mon, 16 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1545674,"2015-11-16 14:47:41 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Reverted to older cloud sdk
1545670,"2015-11-16 14:40:00 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Reverted to older cloud sdk
1545663,"2015-11-16 14:35:39 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Changed minSDK
1545657,"2015-11-16 14:30:47 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Dropped SDK version
1545652,"2015-11-16 14:26:50 +0000 (Mon, 16 Nov 2015)",Jimmy,1,UPdated
1545628,"2015-11-16 13:45:04 +0000 (Mon, 16 Nov 2015)",Jimmy,1,Added sfr module
1544560,"2015-11-12 20:10:20 +0000 (Thu, 12 Nov 2015)",Dave,1,fix the build for the jacoco agent warnings
1544422,"2015-11-12 15:48:11 +0000 (Thu, 12 Nov 2015)",Jimmy,1,FRT only
1544421,"2015-11-12 15:47:49 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Fixed unit test
1544404,"2015-11-12 15:31:13 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Fixed unit test
1544362,"2015-11-12 14:37:08 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Modified test
1544360,"2015-11-12 14:31:35 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Modified test
1544350,"2015-11-12 14:27:36 +0000 (Thu, 12 Nov 2015)",Jimmy,1,Modified app Target version
1544342,"2015-11-12 14:16:04 +0000 (Thu, 12 Nov 2015)",Jimmy,1,FTRPC-119
1544339,"2015-11-12 14:11:02 +0000 (Thu, 12 Nov 2015)",Jimmy,1,FTRPC-119
1544282,"2015-11-12 11:44:34 +0000 (Thu, 12 Nov 2015)",Thomas,3,Merged from trunk: ANDINTL-3373: 15.2 | 15.2.30 | PC Home Screen | Search functionality is not working within the Timeline Month Folders [from revision 1543798]
1544253,"2015-11-12 10:32:06 +0000 (Thu, 12 Nov 2015)",Thomas,2,PHONE-2008: Phone 2.0 - Photos/ Songs/ Documents fonts should be bold on home screen. [from revision 1543831]
1544250,"2015-11-12 10:27:58 +0000 (Thu, 12 Nov 2015)",Thomas,5,Merged: ANDINTL-3667: 15.3:Album count is not getting updated after we delete all photos [from revision 1544231]
1541334,"2015-11-05 16:31:34 +0000 (Thu, 05 Nov 2015)",Vincent,5,
1540927,"2015-11-04 20:47:04 +0000 (Wed, 04 Nov 2015)",Vincent,4,default value of this varibale is false for all projects.
1540926,"2015-11-04 20:34:30 +0000 (Wed, 04 Nov 2015)",Vincent,5,I have fixed ArrayIndexoutOfBounds issue. No_Sync issue is still there.
1540834,"2015-11-04 16:37:55 +0000 (Wed, 04 Nov 2015)",Vincent,3,report abuse is disabled for Frontier android client.
1540809,"2015-11-04 16:15:14 +0000 (Wed, 04 Nov 2015)",Vincent,3,invitation is now disabled on Frontier android.
1540172,"2015-11-03 14:59:39 +0000 (Tue, 03 Nov 2015)",Jimmy,1,Enabled all clients
1540168,"2015-11-03 14:50:34 +0000 (Tue, 03 Nov 2015)",/OU=Domain Control Validated/CN=svn.company.net,1,[gradle-release] prepare for next development iteration
1540148,"2015-11-03 14:35:14 +0000 (Tue, 03 Nov 2015)",Jimmy,1,Frontier
1539956,"2015-11-03 10:32:49 +0000 (Tue, 03 Nov 2015)",Jimmy,1,Added carriage return
1539933,"2015-11-03 09:59:13 +0000 (Tue, 03 Nov 2015)",Thomas,1,Return imports
1539930,"2015-11-03 09:57:23 +0000 (Tue, 03 Nov 2015)",Thomas,1,PHONE-1855: Phone - Android Prod Cannot Switch Account
1539664,"2015-11-02 15:15:35 +0000 (Mon, 02 Nov 2015)",ajon0002,1,"add string widget_header_update_text, containing generic update message for HomeScreenWidget ViewFlipper TextView."
1539662,"2015-11-02 15:13:19 +0000 (Mon, 02 Nov 2015)",ajon0002,6,"TODO is to hold counts delta per Count.type, instead of in a List, as this is last stop for delta before passing to Intent, which must be as Strings, so do the iterating here."
